id,budget,revenue
293660,58000000,Unknown
299536,300000000,2052415039
299534,356000000,2800000000
475557,55000000,1074458282
271110,250000000,Não Informado
284054,200000000,1349926083
284052,180000000,676343174
315635,175000000,880166924
283995,200000000,863756051
297761,175000000,746846894
284053,180000000,855301806
297762,149000000,822854286
634649,200000000,1921847111
263115,$ 97000000,619021436
346364,40000000,701800000
259316,180000000,809342332
354912,$ 175000000,-800526015
209112,$ 250000000,Não Informado
329865,47000000,203388186
496243,11363000,257591776
381288,9000000,278454358
383498,110000000,Unknown
419430,4500000,255407969
424694,52000000,903992901
374720,USD 150000000,527000000
269149,150000000,1023784195
321612,160000000,1266115964
335983,116000000,-856085151
299537,152000000,1131416446
339403,34.0M,226945087
429617,160000000,1131927996
333339,175000000,Não Informado
330459,200000000,1056057273
181808,200000000,1332698830
324857,90000000,375464627
447332,17000000,341000000
297802,160000000,Não Informado
353486,90000000,995339117
324786,40000000,175302354
363088,140000000,622674139
274870,110000000,303144152
335984,150000000,Não Informado
141052,300000000,Unknown
466272,USD 95000000,374251247
246655,N/A,543934787
260513,200000000,1242805359
324552,40000000,171539887
277834,150000000,690860472
399055,19500000,195333312
127380,200000000,Não Informado
296096,N/A,207945075
530915,100000000,Não Informado
398818,4000000,43143046
166426,230000000,795922298
546554,40000000,312897920
332562,USD 36000000,Não Informado
490132,23000000,Não Informado
351286,USD 170000000,1310466296
372058,0,357986087
338952,$ 200000000,654855901
291805,90000000,334901337
76600,$ 460000000,2320250281
337339,250000000,1236005118
458156,55000000,326709727
293167,$ 185000000,566652812
495764,75000000,205372791
343668,104000000,410902662
508442,150000000,136384442
420817,183000000,1054304000
438631,165000000,402027830
359940,$ 15000000,160192031
283366,110000000,296482446
420818,260000000,1663075401
497698,200.0M,Unknown
392044,55.0M,352794081
405774,19800000,0
791373,70000000,0
580489,110000000,506863592
301528,175000000,Não Informado
399566,200000000,470116094
330457,150000000,Não Informado
181812,250000000,1074144248
381284,25000000,235956898
454626,85000000,319715683
316029,84.0M,432844677
287947,$ 80000000,366080049
577922,205.0M,365304105
515001,14000000,82468705
568124,50000000,253000000
414906,$ 185000000,770945583
337404,200.0M,233503234
566525,150000000,432243292
399579,170000000,404980543
466282,0,0
281338,USD 150000000,490719763
474350,79000000,473122525
300668,40000000,43070915
453395,200000000,955775804
512200,USD 125000000,801693929
348350,250000000,392952373
391713,10000000,78966486
464052,200000000,169601036
126889,$ 97000000,240891763
450465,N/A,246999039
537915,$ 14000000,69497587
402900,70000000,297718711
259693,40000000,Unknown
436969,185000000,168717425
278927,USD 175000000,966550600
328111,75000000,875457937
550988,110000000,331526598
508943,200000000,49750471
315837,110000000,169801921
