id,popularity,vote_average,vote_count,averageRating,numVotes
293660,72.735,7.606,28894,8.0,1270339
299536,"154,34",8.255,27713,8.4,1406782
299534,91.756,8.263,23857,8.4,1484150
475557,"54,522",8.168,23425,8.3,1723035
271110,70.741,7.4,21541,7.8,947222
284054,43.665,7.39,,7.3,924922
284052,70.535,7.427,20935,7.5,895880
315635,65.88,7.345,20507,7.4,835116
283995,67.553,7.624,20353,7.6,844767
297761,35.356,5.909,20097,5.9,
284053,45.2,7.595,19539,7.9,
297762,"54,628",7.236,18954,7.3,740929
634649,186.065,7.99,18299,,1070613
263115,54.194,7.8,18116,8.1,939225
346364,74.73,7.242,18018,,708599
259316,46.103,7.334,17892,7.2,545054
354912,166.578,8.222,17742,8.4,
209112,78.589,5.952,17081,6.4,798438
329865,47.983,7.6,16564,7.9,878183
496243,64.627,8.515,16430,8.5,1192897
381288,"44,51",7.337,,7.3,630120
383498,66.096,7.492,,7.6,756545
419430,36.442,7.62,16081,7.8,835741
424694,37.55,79.97,15965,,653883
374720,34.529,7.456,15464,7.8,825518
269149,"98,11",7.748,,8.0,648749
321612,56.226,69.67,14871,7.1,362493
335983,48.649,6.826,14724,6.6,616403
299537,"50,399",6.843,14657,,671609
339403,44.974,7.5,14634,7.5,693991
429617,49.913,7.447,14495,7.3,673414
333339,"50,088",7.6,14430,7.4,550503
330459,33.1,7.488,14354,7.8,
181808,47.241,6.825,14312,6.8,726501
324857,"causing others from across the Spider-Verse to be inadvertently transported to his dimension.\"",8.404,,Phil Lord"," Rodney Rothman""",8.4
447332,"38,002",7.396,13079,7.5,668517
297802,"52,471",6.9,12965,6.8,559486
353486,26.669,6.827,12796,6.9,
324786,74.994,8.195,12668,8.1,695486
363088,34.801,6.951,12512,7.0,505477
274870,27.272,6.934,12429,7.0,504933
335984,70.54,7.544,12331,8.0,
141052,91.091,60.98,12263,6.0,509478
466272,47.706,7.437,12237,7.6,976896
246655,45.544,6.513,12215,6.8,498614
260513,49.215,7.481,12061,7.5,377255
324552,88.285,7.323,12007,7.4,578161
277834,"17,963",7.6,11502,7.6,449656
399055,29.339,7.247,11490,7.3,479945
127380,26.562,7.042,11429,7.2,339586
296096,79.741,7.918,,7.4,342898
530915,44.356,79.9,11395,8.2,784874
398818,32.15,8.167,11367,7.8,364172
166426,62.006,6.648,11176,6.5,391135
546554,39.064,7.847,11156,7.9,889735
332562,27.891,7.503,11079,7.6,452639
490132,34.768,82.42000000000002,,8.2,702296
351286,"44,365",6.548,10431,6.2,386981
372058,68.999,8.514,10303,8.4,403909
338952,29.783,6.876,10203,6.5,334724
291805,33.753,6.83,,6.4,365629
76600,"241,285",76.53999999999999,9830,7.5,646896
337339,56.124,6.887,9719,6.6,278293
458156,80.825,7.447,9711,7.4,487665
293167,39.514,6.514,9696,6.7,378500
495764,"49,33",7.0,9654,6.1,285293
343668,47.359,6.972,9560,6.7,405670
508442,48.876,8.15,,8.0,457205
420817,69.615,7.114,9441,6.9,318976
438631,75.848,7.789,9420,8.0,1088042
359940,23.357,8.081,,8.1,615296
283366,39.951,6.822,,6.7,210767
420818,63.351,7.1,,6.8,295367
497698,56.256,7.303,9298,6.6,488373
392044,37.493,6.706,9243,6.5,324582
405774,27.913,6.854,9227,6.6,426977
791373,130.69,8.19,9202,7.9,479532
580489,"89,985",6.833,9182,,310805
301528,"a road trip adventure alongside old and new friends will show Woody how big the world can be for a toy.\"",7.5,9093,John Lasseter", Andrew Stanton, Josh Cooley, Valerie LaPointe, Rashida Jones, Will McCormack, Martin Hynes," Stephany Folsom""",7.6
399566,99.005,7.661,9080,6.3,270693
330457,70.221,7.272,9060,6.8,223333
181812,"89,699",63.650000000000006,9047,6.3,550342
381284,"70,299",8.058,8958,7.8,
454626,"53,708",7.345,8901,6.5,196237
316029,33.346,7.908,8844,7.5,352957
287947,32.755,7.034,8840,7.0,418041
577922,44.025,7.191,8744,7.3,709152
515001,22.567,8.042,8724,7.9,493834
568124,147.124,7.63,8611,7.2,301321
414906,"100,817",7.705,8584,7.8,947332
337404,77.792,80.55,8507,7.3,301069
566525,89.764,7.589,8481,7.3,500549
399579,47.667,7.219,8450,7.3,327018
466282,38.926,7.642,8045,7.0,142889
281338,41.094,7.16,8030,7.4,329939
474350,72.553,6.854,8021,,362190
300668,32.793,6.398,8014,6.8,398165
453395,96.53,7.355,7991,6.8,558544
512200,38.772,6.931,7932,6.6,324759
348350,55.759,6.563,7904,6.9,414481
391713,25.85,7.271,7861,,
464052,"48,128",6.478,7835,5.3,314451
126889,92.533,6.1,,,348765
450465,31.843,6.677,,6.6,307231
537915,155.287,7.137,7781,5.3,77388
402900,30.268,6.985,7780,6.3,264333
259693,80.98,7.293,7769,7.3,348713
436969,63.194,7.557,7692,7.2,465320
278927,33.274,6.86,7668,7.3,307846
328111,13.019,6.266,7664,6.5,238843
550988,62.599,7.55,7662,7.1,
508943,60.762,7.865,7625,,227594
315837,32.851,6.066,,6.3,241445
38700,"46,619",7.139,7570,6.5,199420
361743,126.291,8.26,7546,8.2,903484
339846,"45,123",6.092,7545,5.5,221366
353081,61.258,7.414,7537,7.7,424347
337167,"93,385",67.05,7511,4.6,84532
524434,60.521,6.927,7493,6.2,435906
335797,45.871,7.114,,7.1,216483
406997,40.233,8.155,,7.9,199121
333371,27.817,6.981,7377,7.2,389028
121856,26.133,5.419,7328,,220931
338970,27.983,6.353,7316,,243987
341174,58.367,6.492,7259,4.6,122969
646380,29.694,7.135,,7.1,680053
340666,21.733,7.442,7196,7.4,342056
336843,"41,488",7.1,7141,6.3,195958
487558,16.735,7.521,7037,7.5,317303
345940,"101,431",6.256,7018,,231931
404368,49.649,7.2,6999,7.0,208886
339964,36.195,6.625,6987,6.4,211352
359724,78.353,8.01,6972,8.1,585549
454983,36.649,7.229,6926,,105877
300669,"24,908",7.009,6922,,334949
493922,"38,531",7.274,6880,7.3,468342
395992,48.2,6.423,6811,6.6,279884
223702,44.804,5.734,6789,6.1,229032
458723,25.853,6.97,6776,6.8,
502356,410.411,7.775,6743,7.0,301951
282035,"21,893",5.507,6741,5.4,224603
396535,49.553,7.8,,7.6,314257
363676,23.191,7.177,6686,7.4,325828
295693,14.391,6.451,6682,6.3,161582
385128,48.986,7.139,,5.2,183721
376867,16.748,7.392,6641,7.4,355593
384018,70.691,6.867,6618,6.4,
324852,29.104,6.451,6560,6.3,
328387,14.439,7.045,6555,6.5,148686
427641,109.045,6.451,6539,,204315
616037,117.087,6.517,,6.1,473221
492188,16.594,7.753,6478,7.9,375070
315162,221.49,8.266,6394,7.9,230807
68735,"37,312",6.364,6340,6.7,297914
447404,33.679,6.953,6314,6.5,199546
619264,29.398,6.986,6308,7.0,329576
337401,"43,222",6.906,6280,5.8,168602
527774,53.503,7.9,6271,,189915
381283,24.705,7.0,6267,6.6,270567
262504,19.857,6.1,6228,5.7,148481
188927,"47,927",6.781,6226,7.0,271747
615457,"Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind,\"",8.018,6217,Derek Kolstad,7.4
398978,23.095,7.615,6203,7.8,479040
334543,20.266,8.083,6199,8.0,268799
530385,32.581,7.162,6185,7.1,496608
419704,11.084,6.1,6143,6.5,
439079,357.731,5.9,6076,,199285
241259,34.545,65.5,6025,6.2,136921
334533,27.428,7.912,6017,7.8,
43074,40.052,5.371,5976,,260417
320288,42.341,5.994,5941,5.7,232853
258489,27.807,5.9,5917,6.2,199379
207932,24.901,6.1,5888,6.2,204276
341013,19.968,6.4,5860,6.7,221894
766507,154.579,7.762,5821,7.1,277100
166428,61.84,7.761,5817,7.4,182834
449176,19.843,8.041,5748,7.5,135977
390043,28","214""",6.891,5732,6.9,264715
335988,44.968,6.059,5727,5.2,189104
440021,17.251,6.638,5721,6.6,
331482,"25,76",7.895,5700,7.7,288268
420809,40.547,7.323,5698,6.6,134094
520763,46.269,7.511,,7.2,328572
508439,25.372,7.726,5687,7.3,189024
406990,39.927,7.17,5687,6.8,146167
47933,31.224,5.283,5674,5.2,201715
424783,"30,511",6.73,5639,6.7,211667
302946,22.664,7.062,5635,7.3,402432
401981,24.57,6.533,5596,6.6,219574
333484,33.557,6.418,5545,6.9,248755
497582,22.028,7.3,5541,6.7,254971
545609,46.071,7.356,5516,6.8,293728
370172,"51,295",7.402,5502,7.3,493952
373571,"53,983",6.674,5479,6.0,232106
299687,26.968,5.946,,5.2,127586
505642,131.897,7.193,5475,6.6,400704
302699,25.567,6.41,5473,6.3,242196
436270,104.759,7.014,5467,6.1,308262
346685,15.235,6.434,5427,6.5,213683
460465,49.774,7.081,5427,6.1,222375
423108,152.616,7.491,5407,6.2,
389015,16.904,7.501,5405,7.5,263640
334541,22.316,7.5,5396,,
445571,18.92,6.85,5372,6.9,283820
324668,28.778,6.329,5362,6.6,
274857,33.349,65.36,5333,,249609
140300,Po must face two hugely epic,6.878,5327,"Alessandro Carloni, Jennifer Yuh Nelson","Jonathan Aibel, Glenn Berger, Ethan Reiff, Cyrus Voris"
400106,"18,138",6.156,5296,6.3,210950
570670,22.738,7.129,5282,7.1,290017
260514,62.961,6.853,5263,6.7,156915
396422,53.098,6.6,5258,6.5,172717
527641,29.178,8.287,5254,7.2,98900
507086,113.897,6.787,5225,5.6,
545611,64.278,7.822,5210,7.7,
451048,48.284,7.418,5199,6.5,229610
338967,33.951,6.955,5187,6.6,229347
512195,52.476,6.803,5135,6.3,359529
345920,15.804,7.239,5122,,110016
522627,31.06,7.678,5079,7.8,464769
346698,1069.34,7.279,5074,6.8,704472
335787,79.542,7.002,,6.3,307351
613504,121.032,7.202,5051,,45058
624860,52.143,6.479,5018,5.6,306508
480530,45.172,7.015,5007,7.1,174004
400928,48.714,8.044,4983,7.6,
447365,"318,516",8.023,4941,7.9,486060
316727,32.648,6.394,4919,6.0,120193
369972,25.21,7.045,4896,7.3,219352
375262,18.954,7.537,4855,7.5,261081
718930,79.836,7.495,4804,7.3,546657
583083,25.333,7.703,4796,5.7,45005
332567,19.501,6.35,4789,6.3,155353
399404,18.896,7.35,4761,7.4,245682
311324,"32,601",6.005,4748,5.9,161245
395834,22.336,7.428,4747,7.7,319902
453405,23.667,6.311,4718,5.7,132519
