id,nome,nota,comentario
442113,Mariana Cardoso 277,4.4,
637007,Lucas Reis 602,3.9,
449479,Sérgio Freitas,0.7,Péssimo em todos os sentidos.
413036,Gabriela Monteiro 401,7.5,
528480,Leonardo Monteiro,6.3,Assisti até o final mas não me marcou.
387727,Maria Alves 707,8.2,"Gostei bastante, recomendo."
1032506,Amanda Castro 242,4.7,"Fraco, não recomendo."
446554,Sandra Rodrigues 736,6.5,Assisti até o final mas não me marcou.
569916,Camila Lima 489,8.2,Muito bom! Vale a pena assistir.
864552,Roberto Almeida 555,9.3,"Obra-prima do cinema, simplesmente espetacular."
935625,Luciana Araújo 558,5.3,"Mediano, tem seus momentos mas nada demais."
459425,Beatriz Souza 112,2.8,Não recomendo de jeito nenhum.
629213,Matheus Ribeiro 587,8.6,"Obra-prima do cinema, simplesmente espetacular."
797814,Matheus Cavalcanti,1.1,Péssimo em todos os sentidos.
428136,Mariana Souza,0.2,Não recomendo de jeito nenhum.
1100094,Gabriel Carvalho 581,6.2,"Aceitável, mas esperava mais."
574936,Leonardo Pinto 606,0.4,"Terrível, um dos piores que já vi."
628575,Alexandre Barbosa 220,0.3,Péssimo em todos os sentidos.
1152100,Isabela Pinto 509,7.6,Legal! Uma boa opção para o fim de semana.
486460,Gabriela Alves 472,3.1,"Decepcionante, esperava muito mais."
739810,João Lopes 193,0.0,
685997,Bruno Alves 156,5.6,
397722,Tatiana Moreira 373,,
1262378,Alexandre Nascimento 537,4.4,"Não gostei, história confusa."
846452,Sérgio Freitas,6.1,Assisti até o final mas não me marcou.
410937,Carolina Lopes 276,2.1,Horrível! Perda de tempo.
444152,Diego Mendes 438,3.7,Deixou a desejar em vários aspectos.
760653,Maria Barbosa 699,3.5,
833339,Gustavo Carvalho 139,7.3,Filme interessante com boas atuações.
1155082,Carolina Almeida 653,3.2,"Fraco, não recomendo."
800797,Sérgio Almeida 335,7.2,Filme interessante com boas atuações.
573249,Rodrigo Oliveira 273,0.5,Péssimo em todos os sentidos.
937415,Sandra Reis 675,9.4,"Obra-prima do cinema, simplesmente espetacular."
593412,Carlos Costa 317,3.5,
492184,Mariana Costa 312,1.8,"Que filme ruim, não assistam."
1378938,Adriana Monteiro 255,7.1,Legal! Uma boa opção para o fim de semana.
493192,Felipe Ferreira 158,7.0,Filme interessante com boas atuações.
592539,Pedro Costa 181,4.8,"Não gostei, história confusa."
728129,Carolina Oliveira 425,9.0,"Adorei cada minuto, uma experiência inesquecível."
706380,Thiago Freitas 288,5.4,"Poderia ser melhor, mas não é ruim."
466962,Isabela Ribeiro 646,3.3,"Decepcionante, esperava muito mais."
923930,Carlos Monteiro 465,9.0,Excepcional! História envolvente e atuações impecáveis.
729536,Lucas Gomes 713,5.7,Assisti até o final mas não me marcou.
664037,Juliana Castro 595,3.9,"Fraco, não recomendo."
1086795,Rodrigo Oliveira 273,9.7,Excepcional! História envolvente e atuações impecáveis.
520235,Maria Cardoso 508,2.9,Não recomendo de jeito nenhum.
506617,Henrique Lima 741,1.5,Péssimo em todos os sentidos.
787495,Marcio Lima 164,0.2,
547499,João Lopes 148,2.3,Não recomendo de jeito nenhum.
476217,Amanda Correia 382,4.9,"Fraco, não recomendo."
1054508,Tatiana Oliveira 369,7.7,Legal! Uma boa opção para o fim de semana.
831775,Juliana Gomes 626,8.0,Muito bom! Vale a pena assistir.
661409,Matheus Gomes 340,9.8,Perfeito! Um dos melhores filmes que já vi.
1188447,Diego Monteiro 525,1.8,Não recomendo de jeito nenhum.
381214,Bianca Gomes 592,4.1,"Ruim, não vale o tempo investido."
447163,Natália Freitas 402,9.1,"Obra-prima do cinema, simplesmente espetacular."
776552,Letícia Lopes,8.4,Filme interessante com boas atuações.
483851,Cristina Santos 113,6.7,"Mediano, tem seus momentos mas nada demais."
707527,Amanda Souza 395,,
721912,Henrique Ferreira 463,8.1,Filme interessante com boas atuações.
586158,Vinícius Lopes 466,7.6,"Gostei bastante, recomendo."
885184,Sérgio Almeida 335,1.5,Horrível! Perda de tempo.
1039871,Marcelo Souza 110,1.3,Péssimo em todos os sentidos.
857553,Marcelo Castro,9.1,"Obra-prima do cinema, simplesmente espetacular."
1048151,Patrícia Gomes 576,1.4,Não recomendo de jeito nenhum.
632318,Fábio Dias 200,,
464493,Adriana Dias 257,0.4,Péssimo em todos os sentidos.
750569,Pedro Souza 611,4.4,
1090391,Gustavo Moreira 656,4.8,"Decepcionante, esperava muito mais."
598760,Vinícius Dias 389,4.7,"Ruim, não vale o tempo investido."
633321,Felipe Carvalho 727,9.0,Excepcional! História envolvente e atuações impecáveis.
487377,Carlos Rocha 214,7.5,
477447,Matheus Lima 130,4.3,Deixou a desejar em vários aspectos.
508562,Ana Santos 199,5.0,"Aceitável, mas esperava mais."
529835,Natália Barbosa 458,3.2,"Decepcionante, esperava muito mais."
464175,Mônica Cavalcanti,7.7,Filme interessante com boas atuações.
855600,Diego Teixeira 121,4.3,"Ruim, não vale o tempo investido."
963131,Fernanda Costa 428,6.2,"Mediano, tem seus momentos mas nada demais."
700981,Fernanda Lopes 201,,
1020969,Carolina Almeida 690,3.2,"Ruim, não vale o tempo investido."
582666,Thiago Moreira,0.7,Não recomendo de jeito nenhum.
749448,Lucas Silva 161,8.5,Excepcional! História envolvente e atuações impecáveis.
515902,Daniel Ribeiro 144,2.1,Péssimo em todos os sentidos.
